event_type,attack_type,event_date,month,day,year,admin1,location,fatalities,sole_perpatrator_classification,extremist_beliefs_classification,connection_to_organized_extremist_group_classification,issue_type,motive,source,source_scale,major_media,notes
VIOLENCE AGAINST CIVILIANS,VEHICLE,2021-05-24,5,24,2021,TENNESSEE,MARYVILLE,0,YES,YES,NO,COVID,ANTI-GOVERNMENT,WATE6,SUBNATIONAL,NO,"ON 24 MAY 2021, A WOMAN DROVE HER SUV THROUGH A VACCINATION TENT IN MARYVILLE (TENNESSEE) ALLEGEDLY TO PROTEST THE CORONAVIRUS VACCINE. SHE ALMOST HIT HEALTH WORKERS IN THE TENT, BUT NO INJURIES WERE REPORTED. SHE YELLED 'NO VACCINE!' BEFORE LEAVING THE PARKING LOT. POLICE HAVE CHARGED HER WITH SEVEN FELONY COUNTS FOR RECKLESS ENDANGERMENT."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2021-09-23,9,23,2021,IDAHO,POCATELLO,0,YES,YES,NO,COVID,ANTI-GOVERNMENT,NETWORK CONTAGION RESEARCH INSTITUTE; TWITTER,LOCAL PARTNER-NATIONAL,NO,"ON 23 SEPTEMBER 2021, AN UNKNOWN INDIVIDUAL FIRED SHOTS INTO THE OFFICES OF TWO DOCTORS IN POCATELLO (IDAHO). IT IS SUSPECTED THE VICTIMS WERE TARGETED BECAUSE DOCTORS ARE VOCAL PROPONENTS OF VACCINATION AMID THE CORONAVIRUS PANDEMIC. THERE WERE NO INJURIES."
VIOLENCE AGAINST CIVILIANS,OTHER WEAPON,2021-09-29,9,29,2021,MARYLAND,ELLICOTT CITY,3,YES,YES,NO,COVID,ANTI-GOVERNMENT,BALTIMORE SUN,SUBNATIONAL,NO,"ON 29 SEPTEMBER 2021, A MAN STABBED HIS BROTHER AND SISTER-IN-LAW IN ELLICOTT CITY (MARYLAND) ALLEGEDLY BECAUSE THE BROTHER, WHO WORKED AS A PHARMACIST, ADMINISTERED CORONAVIRUS VACCINES. THE STABBER ALLEGEDLY CLAIMED THAT THE PHARMACIST WAS 'KILLING PEOPLE WITH THE COVID SHOT.' BOTH VICTIMS DIED. THE STABBER KILLED HIS MOTHER'S FRIEND BEFOREHAND, ALTHOUGH THE MOTIVE IN THIS INSTANCE IN UNCLEAR."
BATTLES,SHOOTING,2020-08-01,8,1,2020,PENNSYLVANIA,SLATINGTON,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,LEHIGH VALLEY LIVE,SUBNATIONAL,NO,"ON 1 AUGUST 2020, POLICE CLASHED WITH A MAN ARMED WITH AN AK-47 IN SLATINGTON (PENNSYLVANIA) THE DAY AFTER HE REPORTEDLY FIRED AT A CLERK IN A BETHLEHEM CIGAR SHOP WHEN THE CLERK ASKED HIM TO WEAR A MASK. THE PERPETRATOR WAS SHOT TWICE BY POLICE OFFICERS IN THE CLASH AND HAS BEEN CHARGED WITH ATTEMPTED HOMICIDE, AGGRAVATED ASSAULT, AND ROBBERY. ONE OFFICER AND THE MAN BOTH SUFFERED NON-LIFE-THREATENING INJURIES."
BATTLES,SHOOTING,2025-08-08,8,8,2025,GEORGIA,ATLANTA,2,YES,NO,NO,COVID,ANTI-GOVERNMENT,11 ALIVE; 16WAPT; NEW YORK TIMES; WDAM7,SUBNATIONAL-NATIONAL,YES,"ON 8 AUGUST 2025, A MAN ARMED WITH FIVE GUNS, SHOT AT THE CENTER FOR DISEASE CONTROL HEADQUARTERS IN ATLANTA (GEORGIA) IN A TARGETED ATTACK. DURING THE ATTACK, THE PERPETRATOR AND POLICE OFFICERS EXCHANGED GUNFIRE. THE PERPETRATOR SHOT A POLICE OFFICER WHO LATER DIED OF HIS INJURIES IN HOSPITAL, AND A SECOND POLICE OFFICER SUFFERED NON-FATAL INJURIES. THE PERPETRATOR DIED AT THE SCENE FROM A SELF-INFLICTED GUN WOUND. NO CIVILIANS WERE KILLED OR INJURED IN THE ATTACK. SEVERAL EXTERIOR WINDOWS OF THE CDC BUILDING WERE DAMAGED BY THE PERPETRATOR'S GUNFIRE. THE PERPETRATOR BELIEVED THAT HE HAD DEVELOPED DEPRESSION FROM THE CORONAVIRUS VACCINE AND HE BLAMED THE CDC FOR HIS ILLNESS. 2 FATALITIES."
BATTLES,OTHER WEAPON,2020-12-25,12,25,2020,MISSOURI,SAINT LOUIS,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,FOX NEWS,NATIONAL,YES,"ON 25 DECEMBER 2020, A WOMAN HIT A SHERIFF'S DEPUTY WITH THE OFFICER'S BATON IN SAINT LOUIS (MISSOURI) AFTER THE OFFICER ASKED THE WOMAN TO WEAR A MASK AMID THE CORONAVIRUS PANDEMIC. THE OFFICER SUFFERED A CONCUSSION FROM THE ATTACK."
VIOLENCE AGAINST CIVILIANS,OTHER WEAPON,2020-03-14,3,14,2020,TEXAS,MIDLAND,0,YES,NO,NO,COVID,ANTI-ASIAN,NBC NEWS,NATIONAL,YES,"ON 14 MARCH 2020, A MAN ATTACKED A 6-YEAR-OLD CHILD, HIS PARENT, AND A SAM'S CLUB EMPLOYEE WHO TRIED TO INTERVENE, WITH A KNIFE IN A SAM'S CLUB IN MIDLAND (TEXAS), BELIEVING THE CUSTOMERS WERE CHINESE THOUGH THEY WERE IN FACT BURMESE. THE MAN YELLED 'GET OUT OF AMERICA!' AS HE ATTACKED THEM. A TEXAS ASSISTANT ATTORNEY LATER STATED THAT THE MAN ATTACKED THE CUSTOMERS BECAUSE OF THEIR RACE AND BECAUSE HE BLAMED THEM FOR THE CORONAVIRUS PANDEMIC. THE MAN LATER PLED GUILTY TO THREE FEDERAL HATE CRIMES."
RIOTS,ASSAULT,2020-03-03,3,3,2020,PENNSYLVANIA,PHILADELPHIA,0,NO,NO,NO,COVID,ANTI-ASIAN,PHILLYVOICE,SUBNATIONAL,NO,"AROUND 3 MARCH 2020 (AS REPORTED), AN UNIDENTIFIED GROUP OF JUVENILES ASSAULTED AN ASIAN COUPLE IN A SUBWAY STATION IN PHILADELPHIA (PENNSYLVANIA) IN A RACIALLY MOTIVATED CRIME AMID THE CORONAVIRUS PANDEMIC. VIDEO OF THE INCIDENT SHOWS THAT THE COUPLE WAS ON THE GROUND AND DEFENSELESS WHEN ATTACKED. POLICE ENCOURAGED VICTIMS OR ANY WITNESS PRESENT IN THE INCIDENT TO PRESENT A REPORT."
RIOTS,ASSAULT,2020-03-28,3,28,2020,NEW YORK,NEW YORK - BRONX,0,NO,NO,NO,COVID,ANTI-ASIAN,CBS2 (NEW YORK),SUBNATIONAL,NO,"ON 28 MARCH 2020, THREE 15 YEARS OLD GIRLS WERE CHARGED WITH HATE CRIME ASSAULTS, MENACING, AND HARASSMENT FOR ATTACKING A 51-YEAR-OLD ASIAN WOMAN IN NEW YORK - BRONX (NEW YORK) AND YELLING ANTI-ASIAN COMMENTS DURING THE CORONAVIRUS PANDEMIC."
RIOTS,ASSAULT,2020-11-28,11,28,2020,MARYLAND,GLEN BURNIE,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,FOX45 (BALTIMORE),SUBNATIONAL,NO,"ON 28 NOVEMBER 2020, EIGHT MEN ATTACKED A BOWLING-ALLEY MANAGER IN GLEN BURNIE (MARYLAND) AFTER THEY WERE ASKED TO WEAR MASKS DUE TO THE CORONAVIRUS PANDEMIC. THE MANAGER WAS KNOCKED DOWN TO THE GROUND AND PUNCHED AND KICKED BY SUSPECTS. THE MANAGER WAS TAKEN TO THE HOSPITAL WITH MINOR INJURIES."
RIOTS,ASSAULT,2020-12-17,12,17,2020,NEW YORK,NEW YORK - MANHATTAN,0,NO,NO,NO,COVID,ANTI-ASIAN,ABC7 (NEW YORK),SUBNATIONAL,NO,"ON 17 DECEMBER 2020, SIX PEOPLE CONFRONTED AN ASIAN WOMAN IN NEW YORK - MANHATTAN (NEW YORK) ABOUT NOT WEARING A MASK DURING THE ONGOING CORONAVIRUS PANDEMIC AT A SUBWAY STATION. THE GROUP MADE ANTI-ASIAN COMMENTS AND PUNCHED THE VICTIM IN THE FACE MULTIPLE TIMES."
RIOTS,OTHER WEAPON,2021-03-07,3,7,2021,CALIFORNIA,SAN FRANCISCO,0,NO,NO,NO,COVID,ANTI-ASIAN,NBC BAY AREA; FOX5 (LAS VEGAS),SUBNATIONAL-NATIONAL,NO,"ON 7 MARCH 2021, THREE WOMEN ATTACKED A NEPALI UBER DRIVER IN SAN FRANCISCO (CALIFORNIA) WHEN HE REFUSED TO CONTINUE THEIR RIDE UNTIL ALL OF THE WOMEN WORE THEIR MASKS TO PREVENT THE SPREAD OF THE CORONAVIRUS. THE WOMEN ATTEMPTED TO REMOVE THE DRIVER'S MASK AND TAKE HIS PHONE. AFTER EXITING THE VEHICLE, ONE WOMAN REACHED INTO THE VEHICLE AND DEPLOYED A 'CAUSTIC CHEMICAL.' OFFICERS ARE INVESTIGATING THE INCIDENT AS A HATE CRIME. THIS COMES AMID AN UPTICK IN CRIMES AGAINST ASIANS AND ASIAN AMERICANS DURING THE CORONAVIRUS PANDEMIC."
RIOTS,OTHER WEAPON,2021-03-17,3,17,2021,TEXAS,LEAGUE CITY,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,ABC13 (HOUSTON); CBS NEWS,SUBNATIONAL-NATIONAL,YES,"ON 17 MARCH 2021, A MAN STABBED THE MANAGER OF A JACK IN THE BOX FAST-FOOD RESTAURANT IN LEAGUE CITY (TEXAS) AFTER THE MANAGER REPEATEDLY ASKED THE MAN TO WEAR A MASK AMID THE CORONAVIRUS PANDEMIC. POLICE SAID THE MAN BELLIGERENTLY REFUSED TO COOPERATE WITH THE STORE'S POLICY AND ALLEGEDLY RECORDED THE INCIDENT, CLAIMING THAT THE MANAGER WAS REFUSING HIM SERVICE BECAUSE HE WAS HOMELESS. THE MANAGER ESCORTED THE MAN OUT THE DOOR AND WAS THEN ATTACKED BY BEING STABBED THREE TIMES."
RIOTS,ASSAULT,2021-05-24,5,24,2021,CALIFORNIA,SACRAMENTO,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,INSIDER (UNITED STATES),NATIONAL,NO,"ON 24 MAY 2021, A WOMAN PASSENGER PUNCHED A FLIGHT ATTENDANT IN THE FACE SEVERAL TIMES ON A FLIGHT FROM SACRAMENTO (CALIFORNIA) TO SAN DIEGO, LEAVING THE FLIGHT ATTENDANT WITH BLOOD RUNNING DOWN HER FACE. THE ATTACK BROKE OUT WHEN THE FLIGHT ATTENDANT ASKED THE PASSENGER TO FASTEN HER SEATBELT, PULL HER TRAY TABLE DOWN, AND PROPERLY WEAR HER MASK AS A CORONAVIRUS SAFETY MEASURE PROTOCOL. THE FLIGHT ATTENDANT WAS TAKEN TO THE HOSPITAL AND WAS TREATED FOR THREE CHIPPED TEETH, BRUISES ON HER EYE AND FOREARM, AND A CUT UNDER HER EYES. ON 27 MAY 2022, THE PASSENGER WAS SENTENCED TO 15 MONTHS IN FEDERAL PRISON."
RIOTS,ASSAULT,2021-08-11,8,11,2021,CALIFORNIA,SUTTER CREEK,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,HAWAII NEWS NOW,NATIONAL,NO,"ON 11 AUGUST 2021, A PARENT PHYSICALLY ATTACKED A SCHOOL TEACHER IN SUTTER CREEK (CALIFORNIA) OVER CORONAVIRUS MASK RULES FOR STUDENTS. THE TEACHER WAS HOSPITALIZED AND SUSTAINED BRUISES AND CUTS."
RIOTS,ASSAULT,2021-09-16,9,16,2021,NEW YORK,NEW YORK - MANHATTAN,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,NEW YORK TIMES,SUBNATIONAL,YES,"ON 16 SEPTEMBER 2021, THREE BLACK WOMEN FROM TEXAS PUNCHED AND SCRATCHED A RESTAURANT HOSTESS ON THE UPPER WEST SIDE IN NEW YORK - MANHATTAN (NEW YORK) AFTER THE HOSTESS ALLEGEDLY USED A RACIAL SLUR AGAINST THEM AND PEOPLE IN THEIR PARTY AND ACCUSED THE PARTY OF USING FAKE VACCINE CARDS. THE HOSTESS WENT TO THE HOSPITAL WITH BRUISES AND SCRATCHES. DAYS LATER, A BLM DEMONSTRATION AGAINST THE EVENT OCCURRED OUTSIDE THE RESTAURANT. THE EVENT WAS ORIGINALLY REPORTED AS A CLASH OVER THE VACCINATION STATUS OF THE WOMEN AMID THE CORONAVIRUS, BUT THE THREE WOMEN WERE ALL VACCINATED AND SEATED INSIDE BEFORE CLASHING WITH THE HOSTESS AFTER TWO MEN FROM THE PARTY DID NOT PROVIDE VACCINE CARDS."
RIOTS,ASSAULT,2021-11-03,11,3,2021,OREGON,EUGENE,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,NEWS TRIBUNE,NATIONAL,NO,"ON 3 NOVEMBER 2021, TWO INDIVIDUALS ATTACKED THE OWNER OF A COOKIE SHOP AT THE CRUMB TOGETHER STORE IN EUGENE (OREGON) DUE TO A DISPUTE OVER CORONAVIRUS MASK MANDATE RULES. THE OWNER HAD ASKED THEM TO LEAVE FOR NOT WEARING MASKS, BUT THE TWO INDIVIDUALS REFUSED, AND PUSHED THE OWNER AFTER SHE TRIED TO MAKE THEM LEAVE. THEN THE OWNER PICKED UP A BASEBALL BAT, WHICH PROMPTED ONE OF THE INDIVIDUALS TO ATTACK HER. THE TWO INDIVIDUALS WERE ARRESTED AFTER SHOWING THE VIDEO TO THE POLICE IN AN EFFORT TO HAVE THE STORE OWNER ARRESTED."
RIOTS,ASSAULT,2021-12-30,12,30,2021,CALIFORNIA,TUSTIN,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,KTLA5; RAWSTORY,SUBNATIONAL-NATIONAL,NO,"ON 30 DECEMBER 2021, A MAN ATTACKED TWO HEALTHCARE WORKERS BY PUNCHING THEM SEVERAL TIMES EACH AT A CORONAVIRUS VACCINE CLINIC IN TUSTIN (CALIFORNIA). THE ATTACK BEGAN AFTER THE MAN WAS ASKED BY STAFF TO PUT ON A MASK, AFTER WHICH HE PUNCHED ONE WORKER TWICE, AND ANOTHER WORKER FIVE TIMES BEFORE BYSTANDERS PHYSICALLY PINNED HIM DOWN. AT LEAST ONE HEALTHCARE WORKER RECEIVED EMERGENCY MEDICAL TREATMENT FOR INJURIES INCURRED FROM THE ATTACK. WITNESSES SAY THE MAN CALLED THE HEALTHCARE WORKERS 'MURDERERS' AND CLAIMED THAT THEY WERE COMPLICIT IN THE 'HOAX.' POLICE ARRIVED ON THE SCENE AND DEPLOYED THEIR TASERS THREE TIMES AT THE MAN WHILE ATTEMPTING TO SUBDUE AND ARREST HIM. THE PERPETRATOR WAS LATER TREATED FOR MINOR SCRAPES AT THE O.C. GLOBAL MEDICAL CENTER, AND THERE HE ASSAULTED THE NURSE ATTENDING TO HIM BY BENDING HER FINGER BACK AND THEN GROPING HER."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2020-05-07,5,7,2020,MISSISSIPPI,LEXINGTON,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,CLARION LEDGER,SUBNATIONAL,NO,"ON 7 MAY 2020, THREE MEN FIRED SHOTS AT POLICE OFFICERS IN LEXINGTON (MISSISSIPPI) WHILE THE OFFICERS WERE ATTEMPTING TO ENFORCE RESTRICTIONS IMPOSED ON SOCIAL GATHERINGS DUE TO THE CORONAVIRUS PANDEMIC. ONE OFFICER WAS INJURED, BUT THERE WERE NO FATALITIES. THE THREE MEN WERE LATER ARRESTED."
VIOLENCE AGAINST CIVILIANS,OTHER WEAPON,2020-05-17,5,17,2020,TENNESSEE,NASHVILLE,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,TENNESSEAN; USA TODAY,SUBNATIONAL-NATIONAL,YES,"ON 17 MAY 2020, A MAN ARMED WITH A MACHETE ATTACKED A COUPLE ON THE STREETS IN NASHVILLE (TENNESSEE) WITH THE STATED INTENTION OF DEMONSTRATING HIS ANGER AGAINST LOCAL SHUTDOWNS IMPOSED IN RESPONSE TO THE CORONAVIRUS PANDEMIC. TWO PEOPLE WERE INJURED BUT THERE WERE NO FATALITIES."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2020-07-31,7,31,2020,PENNSYLVANIA,BETHLEHEM,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,WASHINGTON POST,NATIONAL,YES,"ON 31 JULY 2020, A MAN FIRED TWO SHOTS AT A CLERK AND ONE SHOT INTO THE AIR OUTSIDE A CIGAR SHOP IN BETHLEHEM (PENNSYLVANIA) AFTER HE WAS ASKED TO WEAR A MASK IN THE SHOP AMID STATE-WIDE RESTRICTIONS IMPOSED DUE TO THE CORONAVIRUS PANDEMIC. NO ONE WAS INJURED IN THE INCIDENT. AS THE PERPETRATOR WAS CONFRONTED THE NEXT DAY, HE REPORTEDLY FIRED AT THE POLICE WITH AN AK-47. HE WAS SHOT TWICE BY POLICE OFFICERS AND HAS BEEN CHARGED WITH ATTEMPTED HOMICIDE, AGGRAVATED ASSAULT AND ROBBERY. HE SUFFERED NON-LIFE-THREATENING INJURIES."
VIOLENCE AGAINST CIVILIANS,OTHER WEAPON,2020-10-25,10,25,2020,ILLINOIS,CHICAGO,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,CBS NEWS; CHICAGO SUN-TIMES,SUBNATIONAL-NATIONAL,YES,"ON 25 OCTOBER 2020, TWO WOMEN ALLEGEDLY STABBED A SECURITY GUARD 27 TIMES AT A STORE IN CHICAGO (ILLINOIS) AFTER HE ASKED THE TWO WOMEN TO LEAVE THE STORE FOR REFUSING TO WEAR MASKS DUE TO THE ONGOING CORONAVIRUS PANDEMIC WHILE SHOPPING. THE TWO WOMEN WERE ARRESTED, AND THE SECURITY GUARD WAS TAKEN TO A HOSPITAL FOR HIS INJURIES."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2020-10-31,10,31,2020,CALIFORNIA,ANAHEIM,0,NO,NO,NO,COVID,ANTI-GOVERNMENT,WASHINGTON POST,NATIONAL,YES,"ON 31 OCTOBER 2020, THREE MEN FIRED 15 ROUNDS FROM AN AK-47 OUTSIDE OF THE SAHARA THEATER STRIP CLUB IN ANAHEIM (CALIFORNIA) AFTER THEY WERE REFUSED ENTRY FOR NOT WEARING MASKS AMID THE STATE'S CORONAVIRUS RESTRICTIONS. THREE PEOPLE SUFFERED MINOR TO MODERATE INJURIES. A FOURTH CIVILIAN WAS WOUNDED BUT ALLEGEDLY REFUSED MEDICAL ATTENTION. NONE OF THE INJURIES WERE LIFE-THREATENING."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2021-06-14,6,14,2021,GEORGIA,DECATUR,1,YES,NO,NO,COVID,ANTI-GOVERNMENT,NEW YORK TIMES,NATIONAL,YES,"ON 14 JUNE 2021, A MAN SHOT AND KILLED A CASHIER AT A GROCERY STORE IN DECATUR (GEORGIA) AFTER THE EMPLOYEE ASKED HIM TO WEAR A FACE MASK TO PREVENT THE SPREAD OF THE CORONAVIRUS. WHEN THE SHERIFF'S DEPUTY, WHO WAS PROVIDING SECURITY AT THE STORE, ATTEMPTED TO INTERVENE, THE SHOOTER ALSO SHOT AND WOUNDED HIM. THE SHOOTER WAS ALSO INJURED AND ARRESTED AFTER ATTEMPTING 'TO CRAWL OUT OF THE FRONT DOOR OF THE SUPERMARKET.' THE CASHIER WAS TAKEN TO HOSPITAL BUT WAS LATER PRONOUNCED DEAD. THE SHOOTER AND THE OFFICER REMAIN IN STABLE CONDITION."
VIOLENCE AGAINST CIVILIANS,ASSAULT,2021-08-17,8,17,2021,OHIO,CINCINNATI,0,YES,NO,NO,COVID,"ANTI-ASIAN, XENOPHOBIC",WCPO9,SUBNATIONAL,NO,"ON 17 AUGUST 2021, AN INDIVIDUAL PHYSICALLY AND VERBALLY ASSAULTED AN ASIAN AMERICAN STUDENT IN CINCINNATI (OHIO) DUE TO THE STUDENT'S RACE. THE PERPETRATOR TOLD THE VICTIM 'GO BACK TO YOUR COUNTRY...YOU BROUGHT KUNG FLU HERE...YOU'RE GOING TO DIE FOR BRINGING IT.' AND PUNCHED THE VICTIM SEVERAL TIMES IN THE HEAD. THE VICTIM SUFFERED ORBITAL CONTUSION, FACIAL LACERATIONS, AND AN ACUTE HEAD INJURY. THE PERPETRATOR CONTINUED PUNCHING THE VICTIM UNTIL THE VICTIM WAS BLEEDING ON THE GROUND AND TWO BYSTANDERS RESTRAINED HIM. THE PERPETRATOR WAS ARRESTED AND CHARGED WITH MISDEMEANOR ASSAULT AND CRIMINAL INTIMIDATION."
RIOTS,ASSAULT,2022-01-22,1,22,2022,HAWAII,HONOLULU,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,HAWAII NEWS NOW,SUBNATIONAL,NO,"ON 22 JANUARY 2022, A WOMAN ATTACKED A FEMALE EMPLOYEE AT THE 7-11 IN THE MCCULLY SHOPPING CENTER IN HONOLULU (HAWAII) AFTER SHE WAS ASKED TO PUT ON A FACE MASK, PER THE STATEWIDE CORONAVIRUS PUBLIC HEALTH PROTOCOLS. ACCORDING TO POLICE, THE VICTIM WAS HOSPITALIZED FOR 'SUBSTANTIAL BODILY INJURIES.'"
RIOTS,ASSAULT,2023-10-15,10,15,2023,NEW YORK,NEW YORK - QUEENS,0,YES,NO,NO,COVID,OTHER,QNS,SUBNATIONAL,NO,"ON 15 OCTOBER 2023, A 26-YEAR-OLD MAN PUNCHED A 19-YEAR-OLD SIKH MAN SEVERAL TIMES IN THE FACE AND TRIED TO REMOVE HIS TURBAN AND MEDICAL MASK ON A SHUTTLE BUS IN THE NEIGHBORHOOD OF SOUTH RICHMOND HILL IN NEW YORK - QUEENS (NEW YORK). THE CONFRONTATION BEGAN WHEN THE PERPETRATOR YELLED AT THE SIKH MAN TO TAKE OFF HIS (CORONAVIRUS) MEDICAL MASK. DURING THE ATTACK, THE PERPETRATOR YELLED 'WE DON'T WEAR THAT IN THIS COUNTRY AND TAKE THAT MASK OFF' AT THE VICTIM. THE PERPETRATOR EXITED THE SHUTTLE BUS AFTER PUNCHING THE VICTIM AND THEN RE-ENTERED THE BUS TO PUNCH HIM AGAIN. THE VICTIM SUFFERED FACIAL SWELLING, BRUISES, AND A BLOODY NOSE. THE PERPETRATOR WAS CHARGED WITH A FELONY HATE CRIME, THIRD DEGREE ASSAULT, AND AGGRAVATED HARASSMENT ON OCTOBER 20."
PROTESTS,ASSAULT,2021-08-27,8,27,2021,PENNSYLVANIA,STATE COLLEGE,0,YES,NO,NO,COVID,ANTI-GOVERNMENT,WJAC-TV6,SUBNATIONAL,NO,"ON 27 AUGUST 2021, A GROUP OF PEOPLE GATHERED ON THE CAMPUS OF PENN STATE IN STATE COLLEGE (PENNSYLVANIA) TO DEMONSTRATE IN FAVOR OF A VACCINE MANDATE ON CAMPUS, IN ORDER TO PREVENT THE SPREAD OF THE CORONAVIRUS PANDEMIC. DEMONSTRATORS WERE COUNTER-DEMONSTRATED BY A GROUP RALLYING AGAINST A VACCINE MANDATE. ONE ANTI-VACCINE MANDATE DEMONSTRATOR WAS ASSAULTED BY A MAN WHO WAS LATER IDENTIFIED AS A PROFESSOR - HE WAS INJURED IN HIS HEAD AND FACE BY THE PROFESSOR AND WAS VISIBLY BLOODIED. THE PROFESSOR WAS LATER ARRESTED."
PROTESTS,VEHICLE,2021-10-23,10,23,2021,CALIFORNIA,PALMDALE,0,YES,NO,NO,COVID,OTHER,KNX 1070 NEWSRADIO; LOS ANGELES TIMES; MY NEWS LA,SUBNATIONAL,NO,"ON 23 OCTOBER 2021, PEOPLE RALLIED IN PALMDALE (CALIFORNIA) AGAINST CORONAVIRUS VACCINE MANDATES. A MAN DROVE HIS VEHICLE INTO THE CROWD HOSPITALIZING ONE WOMAN WITH NON-LIFE-THREATENING INJURIES. THE PERPETRATOR WAS ARRESTED. A WITNESS CLAIMED THAT THE DRIVER 'DISAGREED WITH THE PROTEST' BEFORE ENTERING HIS SUV AND 'INTENTIONALLY' DRIVING TOWARDS DEMONSTRATORS."
PROTESTS,ASSAULT,2022-11-28,11,28,2022,NEW YORK,NEW YORK - MANHATTAN,0,YES,NO,NO,COVID,OTHER,BOSTON 25; FNTV; NEW YORK POST; NEWSWEEK,SUBNATIONAL-NATIONAL,YES,"ON 28 NOVEMBER 2022, SOME 200 PROTESTERS, INCLUDING CHINESE AMERICANS AND STUDENTS, GATHERED AT COLUMBIA UNIVERSITY LOW LIBRARY IN NEW YORK - MANHATTAN (NEW YORK) IN SOLIDARITY WITH ANTI-LOCKDOWN DEMONSTRATIONS IN CHINA. PROTESTERS ALSO HELD A VIGIL FOR THE TEN PEOPLE KILLED IN AN APARTMENT FIRE IN URUMQI, CHINA. DURING THE DEMONSTRATION, A MAN APPROACHED A 21-YEAR-OLD WOMAN WHO WAS PROTESTING IN SOLIDARITY WITH ANTI-LOCKDOWN DEMONSTRATIONS IN CHINA, REPEATEDLY PUNCHED HER IN THE HEAD AND RENDERED HER UNCONSCIOUS IN AN UNPROVOKED ATTACK. THE VICTIM WAS TAKEN TO THE HOSPITAL."
RIOTS,ASSAULT,2021-08-08,8,8,2021,OREGON,PORTLAND - DOWNTOWN,0,NO,NO,NO,HOMELESSNESS,ANTI-BLACK,TWITTER,NEW MEDIA,NO,"ON 8 AUGUST 2021, TWO MEN AND ONE WOMAN ATTACKED A HOMELESS ENCAMPMENT AT CHAPMAN SQUARE IN PORTLAND - DOWNTOWN (OREGON). THE THREE INDIVIDUALS ATTACKED SEVERAL RESIDENTS OF THE ENCAMPMENT, INCLUDING SOME WHO ARE BLACK. WITNESSES ALLEGE THE ATTACKERS WERE INEBRIATED AND USED RACIAL SLURS. ONE VICTIM SUFFERED A SEVERE HEAD INJURY AND WAS HOSPITALIZED. THE ATTACKERS LEFT AFTER A RESIDENT USED BEAR MACE AGAINST THEM."
VIOLENCE AGAINST CIVILIANS,VEHICLE,2023-04-03,4,3,2023,NEVADA,RENO,1,YES,NO,NO,HOMELESSNESS,OTHER,IT'S GOING DOWN,OTHER,NO,"ON 3 APRIL 2023, A MAN DROVE HIS CAR INTO A SMALL GROUP OF PEOPLE INCLUDING VOLUNTEERS FROM RENO FOOD NOT BOMBS WHO WERE HOSTING A MEAL NEAR THE NEVADA CARES CAMPUS IN RENO (NEVADA), LEADING TWO VOLUNTEERS TO BE CRITICALLY INJURED. ONE UNHOUSED PERSON WAS ALSO CRITICALLY INJURED AND LATER DIED IN THE HOSPITAL. THE PERPETRATOR WAS LATER CAUGHT AND CLAIMED THAT THE ATTACK WAS 'INTENTIONAL.' AN INITIAL POLICE REPORT CLAIMED THAT THOSE STRUCK WERE NOT TARGETED AS INDIVIDUALS, BUT FOR 'WHY THEY WERE IN THE AREA.' THE DRIVER FACES TWO CHARGES OF ATTEMPTED MURDER AND ONE CHARGE OF MURDER."
VIOLENCE AGAINST CIVILIANS,SHOOTING,2023-11-26,11,26,2023,CALIFORNIA,LOS ANGELES - SOUTH,1,YES,NO,NO,HOMELESSNESS,OTHER,USA TODAY,NATIONAL,YES,"ON 26 NOVEMBER 2023, AN ARMED INDIVIDUAL SHOT AND KILLED A 37-YEAR-OLD HOMELESS MAN AT THE INTERSECTION OF 110TH STREET AND VERMONT AVENUE IN LOS ANGELES - SOUTH (CALIFORNIA) IN AN UNPROVOKED ATTACK. THE POLICE BELIEVE THAT THE PERPETRATOR WAS TARGETING UNHOUSED INDIVIDUALS. THE PERPETRATOR ALSO SHOT AND KILLED 2 OTHER UNHOUSED INDIVIDUALS LATER THE SAME WEEK (CODED SEPARATELY). 1 FATALITY."
