event_type,attack_type,event_date,month,day,year,admin1,location,fatalities,sole_perpatrator_classification,extremist_beliefs_classification,connection_to_organized_extremist_group_classification,issue_type,motive,source,source_scale,major_media,notes
RIOTS,ASSAULT,2023-10-14,10,14,2023,NEW YORK,NEW YORK - MANHATTAN,0,YES,NO,NO,ISRAEL/PALESTINE,ANTISEMITIC,CBS NEWS,NATIONAL,YES,"ON 14 OCTOBER 2023, A MAN APPROACHED A 29-YEAR-OLD WOMAN AND PUNCHED HER IN THE FACE AND SAID IT WAS BECAUSE SHE WAS 'JEWISH' ON BOARD OF THE 7TH TRAIN AT GRAND CENTRAL TERMINAL IN NEW YORK - MANHATTAN (NEW YORK) IN AN UNPROVOKED ATTACK. THE VICTIM SUSTAINED MINOR INJURIES."
RIOTS,ASSAULT,2024-01-03,1,3,2024,ILLINOIS,ORLAND PARK,0,YES,NO,NO,ISRAEL/PALESTINE,ISLAMOPHOBIC,CHICAGO SUN-TIMES,SUBNATIONAL,NO,"ON 3 JANUARY 2024, A 68-YEAR-OLD MAN ATTACKED HIS PALESTINIAN NEIGHBOR IN ORLAND PARK (ILLINOIS), PUNCHING AND YELLING ANTI-PALESTINIAN SLURS. THE VICTIM WAS MOVING TRASH CANS FROM ONE PART OF A COMMUNAL DRIVEWAY TO ANOTHER WHEN THE PERPETRATOR CONFRONTED HIM ABOUT HIS ACTIONS. THE ARGUMENT ESCALATED INTO THE PERPETRATOR PUNCHING THE VICTIM TWICE IN THE FACE. THE PERPETRATOR WAS CHARGED WITH A FELONY HATE CRIME AND TWO MISDEMEANOR COUNTS OF BATTERY FOR THE INCIDENT."
VIOLENCE AGAINST CIVILIANS,ARSON,2023-05-17,5,17,2023,MINNESOTA,SAINT PAUL,0,YES,NO,NO,ISRAEL/PALESTINE,ISLAMOPHOBIC,AP; KEYC NEWS NOW; MINNESOTA PUBLIC RADIO; PATCH; SAHAN JOURNAL; STAR TRIBUNE (MINNEAPOLIS),SUBNATIONAL-NATIONAL,YES,"ON 17 MAY 2023, A 42-YEAR OLD MAN SET FIRE TO THE TAWHID ISLAMIC CENTER OF MINNESOTA IN SAINT PAUL (MINNESOTA), LEADING TO DAMAGE ON THE EAST SIDE OF THE BUILDING. THE BUILDING WAS NOT CURRENTLY USED AS A PLACE OF WORSHIP BUT HOMELESS PEOPLE WERE SQUATTING IN THE BUILDING. THERE WERE NO INJURIES. THE PERPETRATOR HAD BROKEN INTO THE BUILDING THE DAY BEFORE AND SLEPT IN THE BUILDING. THE PERPETRATOR LATER CLAIMED TO POLICE TO BE SETTING THE FIRE AS AN ACT OF PROTEST AGAINST HOMELESSNESS IN THE MUSLIM COMMUNITY. THE MAN WAS LATER ARRESTED ON 18 MAY 2023 ON CHARGES OF ALLEGED FIRST-DEGREE ARSON. THIS IS THE SIXTH ATTACK AGAINST A MOSQUE IN MINNESOTA IN 2023."
PROTESTS,VEHICLE,2021-06-04,6,4,2021,ALABAMA,BROOKWOOD,0,YES,NO,NO,LABOR,OTHER,ALABAMA MEDIA GROUP; UMWA,OTHER-SUBNATIONAL,NO,"ON 4 JUNE 2021, A GROUP OF MINE WORKERS AND SUPPORTERS, ORGANIZED BY THE UNITED MINE WORKERS OF AMERICA, GATHERED OUTSIDE OF THE WARRIOR MET COAL PLANT IN BROOKWOOD (ALABAMA) TO PROTEST UNFAIR LABOR PRACTICES AND TO DEMAND FAIR CONTRACTS. A DRIVER PASSING THROUGH THE PICKET LINE INTENTIONALLY HIT ONE OF THE PROTESTERS WITH THEIR TRUCK BEFORE SPEEDING OFF. A SIMILAR INCIDENT TOOK PLACE EARLIER IN THE DAY IN WHICH TWO MEN IN A WHITE TRUCK RAN OVER A FIRE BARREL AND CHAIRS ON THE PICKET LINE, NARROWLY MISSING ONE STRIKER WHO WAS HIT BY THE BARREL."
PROTESTS,VEHICLE,2021-06-07,6,7,2021,ALABAMA,BROOKWOOD,0,YES,NO,NO,LABOR,OTHER,ALABAMA MEDIA GROUP; UMWA,OTHER-SUBNATIONAL,NO,"ON 7 JUNE 2021, A GROUP OF MINE WORKERS AND SUPPORTERS, ORGANIZED BY THE UNITED MINE WORKERS OF AMERICA, GATHERED OUTSIDE THE WARRIOR MET COAL PLANT IN BROOKWOOD (ALABAMA) TO PROTEST UNFAIR LABOR PRACTICES AND TO DEMAND FAIR CONTRACTS. A DRIVER IN A BLACK TRUCK PUSHED THROUGH THE PICKET LINE, INTENTIONALLY STRIKING ONE OF THE UNION MEMBERS AND NARROWLY MISSING SEVERAL OTHERS."
PROTESTS,VEHICLE,2021-07-08,7,8,2021,ALABAMA,BROOKWOOD,0,YES,NO,NO,LABOR,OTHER,ALABAMA MEDIA GROUP,SUBNATIONAL,NO,"ON 8 JULY 2021, A GROUP OF MINE WORKERS AND THEIR SUPPORTERS, ORGANIZED BY THE UNITED MINE WORKERS OF AMERICA, GATHERED OUTSIDE OF THE WARRIOR MET COAL PLANT IN BROOKWOOD (ALABAMA) TO PROTEST 'UNFAIR' LABOR PRACTICES AT THE PLANT AND TO DEMAND A 'FAIR CONTRACT.' DURING THE EVENT, A DRIVER PUSHED THROUGH THE PICKET LINE, INTENTIONALLY STRIKING A PROTESTER BEFORE SPEEDING OFF. NO INJURIES WERE REPORTED."
PROTESTS,ASSAULT,2023-03-11,3,11,2023,PENNSYLVANIA,PITTSBURGH,0,NO,NO,NO,LABOR,OTHER,CWA; PENNSYLVANIA AFL-CIO; PITTSBURGH UNION PROGRESS,OTHER-SUBNATIONAL,NO,"ON 11 MARCH 2023, AN UNREPORTED NUMBER OF WORKERS PICKETED OUTSIDE OF A DISTRIBUTION CENTER IN PITTSBURGH (PENNSYLVANIA) TO CALL FOR THE PITTSBURGH POST-GAZETTE TO RETURN TO THE NEGOTIATING TABLE TO GIVE WORKERS A BETTER CONTRACT. THE RALLY TOOK PLACE AS PART OF A SERIES OF STRIKES SINCE 6 OCTOBER 2022 AND 18 OCTOBER 2022 WHICH WERE ORGANIZED BY THE TEAMSTERS AND CWA AND THE PITTSBURGH NEWS GUILD, A MEMBER OF THE CWA, RESPECTIVELY. DURING THE PICKET, A STRIKING WORKER APPROACHED A 'SCAB WORKER,' AND THE TWO ENGAGED IN A 'HEATED DISCUSSION' WHICH LED TO THE 'SCAB WORKER' ASSAULTING TWO STRIKERS, PUNCHING THEM IN THE FACE. ONE OF THE STRIKERS SUFFERED A CUT NEAR HIS EYE WHILE THE OTHER HAD HIS JAW BROKEN REQUIRING SURGERY. WITNESSES HAVE SAID THAT A VIDEO DEPICTING THE EVENT DOES NOT SHOW A PREVIOUS PUNCH WHICH LED TO THE ALTERCATION."
PROTESTS,VEHICLE,2023-07-17,7,17,2023,PENNSYLVANIA,LAWRENCE PARK,0,YES,NO,NO,LABOR,OTHER,FACEBOOK; WICU,NEW MEDIA-SUBNATIONAL,NO,"ON 17 JULY 2023, WORKERS PICKETED IN LAWRENCE PARK (PENNSYLVANIA) TO CALL FOR A BETTER CONTRACT FROM WABTEC THAT INCLUDES A COST-OF-LIVING ADJUSTMENT AND WAGE INCREASES. THE PICKET TOOK PLACE AS PART OF A STRIKE WHICH BEGAN ON 22 JUNE 2023 AND WAS ORGANIZED BY UE LOCAL 506 AND 618. DURING THE PICKET, TWO PICKETERS WERE HIT BY A CAR IN A HIT-AND-RUN, THOUGH THERE WERE NO SERIOUS INJURIES REPORTED."
PROTESTS,VEHICLE,2023-09-26,9,26,2023,MICHIGAN,SWARTZ CREEK,0,YES,NO,NO,LABOR,OTHER,ABC12,SUBNATIONAL,NO,"ON 26 SEPTEMBER 2023, WORKERS ASSOCIATED WITH UAW RALLIED OUTSIDE THE FLINT PROCESSING CENTER IN SWARTZ CREEK (MICHIGAN) TO CALL FOR HIGHER WAGES DURING A NATIONAL UAW LABOR STRIKE. DURING THE PICKET, A 19-YEAR-OLD THIRD PARTY CONTRACTOR WHO WAS LEAVING WORK IN A VEHICLE ENCOUNTERED UAW DEMONSTRATORS AND DROVE HIS CAR INTO THE DEMONSTRATORS. FIVE PEOPLE HAD MINOR INJURIES AND NO FATALITIES."
PROTESTS,VEHICLE,2023-10-18,10,18,2023,MAINE,BAILEYVILLE,0,YES,NO,NO,LABOR,OTHER,CBS13 (MAINE),SUBNATIONAL,NO,"ON 18 OCTOBER 2023, WOODLAND PULP WORKERS AND MEMBERS OF LOCAL 1490 OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS (AFFILIATED WITH AFL-CIO) PICKETED IN BAILEYVILLE (MAINE) AS PART OF A STRIKE TO DEMAND A CONTRACT WITHOUT A PROPOSED TIER SYSTEM WHICH WOULD HAVE EXPERIENCED WORKERS PROMOTED ONLY IN CASE THEY COMPLETE ADDITIONAL TRAININGS. PROTESTERS CLAIM THAT A SALARIED EMPLOYEE AT THE MILL INTENTIONALLY DROVE HIS VEHICLE INTO PROTESTERS AND HIT ONE OR TWO OF THEM, THOUGH THE VEHICLE WAS TRAVELING AT VERY LOW SPEEDS AND THE DRIVER DID NOT APPEAR TO BE ATTEMPTING TO CAUSE INJURY."
